stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
SA580,8007,"PRINCE OF WALES / NATIONAL COMMISSION",,  45.391225, -75.707594,,,0
SA610,2357,"PRESTON / CARLING",,  45.396992, -75.707501,,,0
SA620,8000,"PRESTON / CARLING",,  45.397153, -75.707256,,,0
SA700,1586,"NCC DRWY / MAPLE",,  45.389413, -75.709778,,,0
SB010,6764,"BASELINE / FISHER",,  45.371262, -75.717448,,,0
SB020,4480,"BASELINE / MARSON",,  45.369871, -75.720608,,,0
SB030,0319,"BASELINE / MARSON",,  45.370062, -75.719622,,,0
SB040,4481,"BASELINE / ZENA",,  45.368538, -75.723116,,,0
SB050,6766,"BASELINE / ZENA",,  45.368462, -75.723844,,,0
SB060,2420,"BASELINE / FARLANE",,  45.367041, -75.726570,,,0
SB070,4482,"BASELINE / FARLANE",,  45.366946, -75.727273,,,0
SB080,4491,"BASELINE / MERIVALE",,  45.365078, -75.731481,,,0
SB090,4483,"BASELINE / MERIVALE",,  45.365542, -75.729897,,,0
SB100,4001,"1305 BASELINE",,  45.364093, -75.733874,,,0
SB110,4046,"1305 BASELINE",,  45.363965, -75.733556,,,0
SB120,4484,"BASELINE / LAURENTIAN PLACE",,  45.362462, -75.737585,,,0
SB130,4043,"BASELINE / LAURENTIAN PLACE",,  45.362477, -75.737150,,,0
SB140,4485,"BASELINE / CLYDE",,  45.361599, -75.739051,,,0
SB170,4821,"CLYDE / MERIVALE",,  45.358658, -75.737968,,,0
SB175,6618,"CLYDE / BASELINE",,  45.360664, -75.739128,,,0
SB180,4041,"MERIVALE / BASELINE",,  45.364650, -75.730968,,,0
SB190,4039,"MERIVALE / BURRIS",,  45.362669, -75.733459,,,0
SB200,4486,"MERIVALE / BURRIS",,  45.363347, -75.732620,,,0
SB210,4487,"MERIVALE / AD. 1460",,  45.361765, -75.734186,,,0
SB211,6937,"MERIVALE / KIMWAY",,  45.360610, -75.735159,,,0
SB220,4037,"MERIVALE / AD. 1460",,  45.361709, -75.733995,,,0
SB230,4488,"MERIVALE / GILBEY",,  45.359313, -75.736236,,,0
SB240,4489,"MERIVALE / GILBEY",,  45.359490, -75.735812,,,0
SB250,4033,"MERIVALE / CLYDE",,  45.356698, -75.736781,,,0
SB260,4035,"MERIVALE / CLETO",,  45.356727, -75.737138,,,0
SB270,4493,"MERIVALE / ROSSLAND",,  45.354812, -75.735977,,,0
SB280,0323,"MERIVALE / CAPILANO",,  45.355379, -75.735982,,,0
SB290,4494,"1558 MERIVALE",,  45.353068, -75.734929,,,0
SB300,4492,"1755 MERIVALE",,  45.353609, -75.734963,,,0
SB320,4030,"MEADOWLANDS / MERIVALE",,  45.351770, -75.731934,,,0
SB330,4029,"MEADOWLANDS / MERIVALE",,  45.351287, -75.732298,,,0
SB350,2989,"MEADOWLANDS / CHESTERTON",,  45.353272, -75.730535,,,0
SB360,2988,"MEADOWLANDS / AD. 1343",,  45.354628, -75.730007,,,0
SB370,2990,"MEADOWLANDS / AD. 1356",,  45.354195, -75.729859,,,0
SB380,4495,"MEADOWLANDS / TIVERTON",,  45.356198, -75.729309,,,0
SB390,4497,"MEADOWLANDS / TIVERTON",,  45.356653, -75.728754,,,0
SB400,4496,"MEADOWLANDS / EAGLE",,  45.357002, -75.728532,,,0
SB410,2991,"MEADOWLANDS / BELIVEAU",,  45.358790, -75.724091,,,0
SB420,2987,"MEADOWLANDS / BELIVEAU",,  45.358916, -75.724051,,,0
SB430,4499,"MEADOWLANDS / INVERNESS",,  45.359912, -75.721872,,,0
SB440,4498,"MEADOWLANDS / INVERNESS",,  45.359570, -75.722268,,,0
SB450,6730,"MEADOWLANDS / DEER PARK",,  45.360963, -75.719377,,,0
SB460,6731,"MEADOWLANDS / DEER PARK",,  45.360659, -75.719777,,,0
SB470,4501,"MEADOWLANDS / HOGAN",,  45.361220, -75.717484,,,0
SB480,4500,"MEADOWLANDS / HOGAN",,  45.361375, -75.716538,,,0
SB500,6732,"MEADOWLANDS / NESS",,  45.361290, -75.714624,,,0
